date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2021-08-08,170.0,8,3,2021,31,2,235.0,55.0,375.0,192.5,143.3817747600203,483.12750000000005,476.76681187677366,434.91833333333335,409.5853912929585,-0.276595744680851
2021-08-15,140.0,8,3,2021,32,3,170.0,235.0,105.0,141.25,78.2490681520651,465.62750000000005,486.4994274479086,418.66833333333335,416.42270049539644,-0.17647058823529416
2021-08-22,300.0,8,3,2021,33,4,140.0,170.0,55.0,150.0,74.7217059048654,294.37750000000005,249.99391431164318,424.5016666666667,411.55631674354726,1.1428571428571428
2021-08-29,348.0,8,3,2021,34,5,300.0,140.0,235.0,211.25,71.22441060947104,230.6275,140.98188857843724,392.91833333333335,404.7362553527538,0.15999999999999992
2021-09-05,35.0,9,3,2021,35,1,348.0,300.0,170.0,239.5,100.27129865187344,216.0,117.2640488080519,401.91833333333335,402.2196867347116,-0.8994252873563219
2021-09-12,560.0,9,3,2021,36,2,35.0,348.0,140.0,205.75,144.44924137333916,173.5,112.93866856459255,379.0016666666667,415.5462385787766,15.0
2021-09-19,596.0,9,3,2021,37,3,560.0,35.0,300.0,310.75,215.76742880549233,230.375,172.4188732625953,299.83500000000004,229.20024466510765,0.06428571428571428
2021-09-26,200.0,9,3,2021,38,4,596.0,560.0,348.0,384.75,257.56212842729786,298.0,198.00360747074438,282.0016666666667,191.04719083054363,-0.6644295302013423
2021-10-03,35.0,10,4,2021,39,1,200.0,596.0,35.0,347.75,274.66388550371863,293.625,199.97138188107974,259.9166666666667,183.12065487657026,-0.825
2021-10-10,45.0,10,4,2021,40,2,35.0,200.0,560.0,347.75,274.66388550371863,276.75,216.87570502149723,231.58333333333334,189.87434042417325,0.2857142857142858
2021-10-17,175.0,10,4,2021,41,3,45.0,35.0,596.0,219.0,262.43856423932795,264.875,227.76080027708278,226.58333333333334,194.25028762507387,2.888888888888889
2021-10-24,550.0,10,4,2021,42,4,175.0,45.0,200.0,113.75,85.86568969423426,249.25,229.28943032146708,236.58333333333334,187.58874667417436,2.142857142857143
2021-10-31,351.0,10,4,2021,43,5,550.0,175.0,35.0,201.25,241.0869483540462,274.5,251.74079639865414,262.8333333333333,208.24890410421318,-0.3618181818181818
2021-11-07,1396.0,11,4,2021,44,1,351.0,550.0,45.0,280.25,219.23408342074276,314.0,232.87765028014186,277.9166666666667,207.4671752058106,2.977207977207977
2021-11-21,1669.0,11,4,2021,46,3,1396.0,351.0,175.0,618.0,540.8160500576881,418.5,447.60792792672606,382.5833333333333,378.1650573573138,0.19555873925501444
2021-11-28,339.0,11,4,2021,47,4,1669.0,1396.0,550.0,991.5,639.7366645737915,552.625,631.415402658413,496.6666666666667,527.857131727091,-0.7968843618933493
2021-12-05,728.0,12,4,2021,48,1,339.0,1669.0,351.0,938.75,694.6204599155809,570.0,622.170624277847,495.9166666666667,528.093906651482,1.1474926253687316
2021-12-12,500.0,12,4,2021,49,2,728.0,339.0,1396.0,1033.0,608.5299225729714,656.625,584.1210582698469,553.6666666666666,510.71364211505477,-0.3131868131868132
2021-12-19,575.0,12,4,2021,50,3,500.0,728.0,1669.0,809.0,595.1307979483724,713.5,536.2502081251679,548.6666666666666,510.93965723295867,0.1499999999999999
2021-12-26,342.0,12,4,2021,51,4,575.0,500.0,339.0,535.5,161.74980680050234,763.5,496.00547232004277,546.9166666666666,510.7987432057816,-0.40521739130434786
2022-01-02,205.0,1,1,2022,52,1,342.0,575.0,728.0,536.25,160.53737882499465,737.5,513.923562965767,558.75,503.6257854977064,-0.4005847953216374
2022-01-09,879.0,1,1,2022,1,2,205.0,342.0,500.0,405.5,165.22005527981918,719.25,531.8876761121658,572.9166666666666,489.75364091334615,3.2878048780487807
2022-01-16,311.0,1,1,2022,2,3,879.0,205.0,575.0,500.25,295.1015361984185,654.625,465.1343699866279,642.4166666666666,466.65861735482304,-0.646188850967008
2022-01-23,525.9,1,1,2022,3,4,311.0,879.0,342.0,434.25,302.2464502135079,484.875,230.852728255174,653.75,455.8000209421991,0.6909967845659164
2022-01-30,55.0,1,1,2022,4,5,525.9,311.0,205.0,480.225,297.48591423236576,508.2375,223.31526681545355,651.7416666666667,456.3514802875149,-0.8954173797299867
2022-02-06,144.0,2,1,2022,5,1,55.0,525.9,879.0,442.725,348.7769619207474,424.1125,253.43370751962516,627.0749999999999,481.3973167674588,1.6181818181818182
2022-02-13,710.22,2,1,2022,6,2,144.0,55.0,311.0,258.975,207.1880043985812,379.6125,268.9829014082494,522.7416666666667,432.82030799761634,3.932083333333334
2022-02-20,375.0,2,1,2022,7,3,710.22,144.0,525.9,358.78,310.8332376049895,396.515,286.6810314617974,442.8433333333333,253.2161570075986,-0.47199459322463466
2022-02-27,472.0,2,1,2022,8,4,375.0,710.22,55.0,321.055,292.39995229137753,400.64,286.02122338835534,445.8433333333333,252.0847483516506,0.2586666666666666
2022-03-06,110.0,3,1,2022,9,1,472.0,375.0,144.0,425.305,234.53505516233568,434.015,275.3084235647619,424.51,236.37881330994543,-0.7669491525423728
