date,amount,month,quarter,year,week_of_year,week_of_month,lag_1,lag_2,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_8,rolling_std_8,rolling_mean_12,rolling_std_12,pct_change
2020-11-01,850.0,11,4,2020,44,1,80.0,160.0,2406.9,2032.725,2541.0981817251113,1328.2375,1874.9125601992369,1233.2766666666666,1721.2118539475894,9.625
2020-11-08,330.0,11,4,2020,45,2,850.0,80.0,5484.0,1643.5,2583.5625919777262,1238.8625,1879.0511001471689,1017.0750000000002,1574.9487998171417,-0.611764705882353
2020-11-15,1088.0,11,4,2020,46,3,330.0,850.0,160.0,355.0,346.07320998116614,1264.4875,1863.020569963505,1038.4083333333335,1562.6993315520851,2.296969696969697
2020-11-22,969.0,11,4,2020,47,4,1088.0,330.0,80.0,587.0,463.05795173678644,1366.1125,1823.0806231192457,1090.7416666666668,1552.0472992196958,-0.109375
2020-11-29,990.0,11,4,2020,48,5,969.0,1088.0,850.0,809.25,333.94747591001163,1420.9875,1800.7889068306386,1155.2416666666668,1527.323979120661,0.021671826625387025
2020-12-06,709.0,12,4,2020,49,1,990.0,969.0,330.0,844.25,346.7336874317249,1243.875,1759.166234125051,1107.325,1522.3114823577275,-0.2838383838383839
2020-12-13,105.0,12,4,2020,50,2,709.0,990.0,1088.0,939.0,161.86619988950028,647.0,400.0024999921871,1155.9916666666668,1497.1801922634634,-0.8519040902679831
2020-12-20,1205.01,12,4,2020,51,3,105.0,709.0,969.0,693.25,412.46605920972615,640.125,409.91826275839037,1141.825,1507.0459558203743,10.476285714285714
2020-12-27,290.0,12,4,2020,52,4,1205.01,105.0,990.0,752.2525,476.90663134936716,780.75125,382.35734689787967,1198.0758333333333,1494.6801202656789,-0.7593380967792798
2021-01-03,70.0,1,1,2021,53,1,290.0,1205.01,709.0,577.2525,488.86716160084643,710.75125,417.5132820962531,1021.6674999999999,1463.6399934107308,-0.7586206896551724
2021-01-10,150.0,1,1,2021,1,2,70.0,290.0,105.0,417.5025,533.8041932128937,678.25125,459.4036561654837,570.5008333333334,438.52082878816753,1.1428571428571428
2021-01-17,816.32,1,1,2021,2,3,150.0,70.0,1205.01,428.7525,525.4313387034202,561.00125,459.5862860206056,569.6675,439.3804908799545,4.4421333333333335
2021-01-24,1000.0,1,1,2021,3,4,816.32,150.0,290.0,331.58000000000004,335.7067950856349,541.91625,443.09748466054236,631.0275,415.54892211988795,0.22500980007840066
2021-01-31,500.0,1,1,2021,4,5,1000.0,816.32,70.0,509.08000000000004,468.02014087715094,543.16625,444.55384398092184,643.5275,424.8857304590588,-0.5
2021-02-07,50.0,2,1,2021,5,1,500.0,1000.0,150.0,616.58,373.36075351684735,517.04125,439.52884008861395,657.6941666666667,416.2275426747505,-0.9
2021-02-14,454.84,2,1,2021,6,2,50.0,500.0,816.32,591.58,415.93699715221464,510.16625,447.25681682699235,571.1941666666667,426.40581717118374,8.0968
2021-02-21,175.0,2,1,2021,7,3,454.84,50.0,1000.0,501.21,389.24438304660845,416.395,348.5027976522254,528.3475,408.2445678561953,-0.6152493184416499
2021-02-28,115.0,2,1,2021,8,4,175.0,454.84,500.0,294.96,217.56134705718094,402.02,356.7356213540449,460.43083333333334,391.92754904349755,-0.34285714285714286
2021-03-07,3439.0,3,1,2021,9,1,115.0,175.0,50.0,198.70999999999998,178.2196857813466,407.645,351.06210272746324,410.93083333333334,395.17683851567415,28.904347826086955
